SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,COUNTY
PAST SALE,April-19-2023,Single Family Residential,5 Stonewall Dr,Vernon,NJ,07419,205000.0,3.0,2.0,Vernon,,20473.0,,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/5-Stonewall-Dr-07419/home/167670728,NJMLS,22028541.0,N,Y,41.1856928,-74.5610393,Sussex
PAST SALE,,Condo/Co-op,1 Brandywine Ct #2,Vernon,NJ,07462,200000.0,,,,842.0,,1986.0,,238.0,,,,,https://www.redfin.com/NJ/Vernon/1-Brandywine-Ct-07462/unit-2/home/167668218,,,N,Y,41.1819562,-74.5173081,Sussex
PAST SALE,December-31-2019,Single Family Residential,100-A N GATE Rd,Montague Twp.,NJ,07827,205000.0,3.0,2.0,Montague Twp.,,29185.0,1975.0,,,,Sold,,,https://www.redfin.com/NJ/Montague/100-A-N-Gate-Rd-07827/home/174082431,GSMLS,3529711.0,N,Y,41.306998,-74.752455,Sussex
PAST SALE,,Single Family Residential,282 State Rt 94,Vernon,NJ,07462,200000.0,,,,1152.0,13939.0,1931.0,,174.0,,,,,https://www.redfin.com/NJ/Vernon/282-State-Rt-94-07462/home/167663079,,,N,Y,41.1978243,-74.4888942,Sussex
PAST SALE,February-11-2022,Vacant Land,39 OLD BEAVER RUN Rd,Lafayette Twp.,NJ,07848,200000.0,,,Lafayette Twp.,,1148241.0,,,,,Sold,,,https://www.redfin.com/NJ/Lafayette/39-Old-Beaver-Run-Rd-07848/home/77356421,GSMLS,3686765.0,N,Y,41.102426,-74.6689279,Sussex
PAST SALE,July-31-2020,Vacant Land,966 Fairview Lake Rd,Stillwater Twp.,NJ,07860,205000.0,,,Stillwater Twp.,,,,,,,Sold,,,https://www.redfin.com/NJ/Newton/966-Fairview-Lake-Rd-07860/home/101849386,GSMLS,3389917.0,N,Y,41.0636101,-74.8793351,Sussex
PAST SALE,,Single Family Residential,37 Alexandria Ave,Glasser,NJ,07837,200000.0,,,,1852.0,10001.0,,,108.0,,,,,https://www.redfin.com/NJ/Glasser/37-Alexandria-Ave-07837/home/37730284,,,N,Y,40.9728883,-74.6362233,Sussex
PAST SALE,,Single Family Residential,7 Carl Walsh Rd,Franklin,NJ,07416,200000.0,,,,1144.0,10629.0,1959.0,,175.0,,,,,https://www.redfin.com/NJ/Franklin/7-Carl-Walsh-Rd-07416/home/37690734,,,N,Y,41.1192873,-74.5806765,Sussex
PAST SALE,,Single Family Residential,7 Hudson Ave,Sussex,NJ,07461,200000.0,,,,874.0,17102.0,1957.0,,229.0,,,,,https://www.redfin.com/NJ/Sussex/7-Hudson-Ave-07461/home/37851837,,,N,Y,41.219583,-74.6255637,Sussex
PAST SALE,August-25-2020,Single Family Residential,50 ROUTE 94,Vernon Twp.,NJ,07428,200000.0,2.0,1.0,Vernon Twp.,,62726.0,1946.0,,,,Sold,,,https://www.redfin.com/NJ/Vernon-Twp/50-ROUTE-94-07428/home/171081209,GSMLS,3623322.0,N,Y,41.133372,-74.693039,Sussex
PAST SALE,April-30-2021,Single Family Residential,3 Wild Turkey Way Unit 516,Hardyston Twp.,NJ,07419-1531,205000.0,1.0,1.0,Hardyston Twp.,,,2007.0,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/3-Wild-Turkey-Way-07419/unit-516/home/148306229,GSMLS,3704484.0,N,Y,41.1608935,-74.5508243,Sussex
PAST SALE,,Single Family Residential,411 Lakeside Blvd,Hopatcong,NJ,07843,200000.0,,,,1100.0,16240.0,1925.0,,182.0,,,,,https://www.redfin.com/NJ/Hopatcong/411-Lakeside-Blvd-07843/home/37719957,,,N,Y,40.9394454,-74.6515939,Sussex
PAST SALE,,Single Family Residential,42 Maple Ave,Stockholm,NJ,07460,200000.0,,,,3216.0,24873.0,2005.0,,62.0,,,,,https://www.redfin.com/NJ/Stockholm/42-Maple-Ave-07460/home/37706794,,,N,Y,41.0731323,-74.5245053,Sussex
PAST SALE,,Single Family Residential,11 Rustic Rd,Highland Lakes,NJ,07422,200000.0,,,,720.0,19166.0,1968.0,,278.0,,,,,https://www.redfin.com/NJ/Highland-Lakes/11-Rustic-Rd-07422/home/165330631,,,N,Y,41.2010507,-74.429403,Sussex
PAST SALE,October-16-2020,Single Family Residential,7 SPRUCE Run #7,Hardyston Twp.,NJ,07419-9717,205000.0,2.0,1.5,Hardyston Twp.,,1306.0,2000.0,,,,Sold,,,https://www.redfin.com/NJ/Hamburg/7-Spruce-Run-07419/unit-7/home/173446525,GSMLS,3657000.0,N,Y,41.142752,-74.600738,Sussex
PAST SALE,April-16-2021,Single Family Residential,35 LIBERTY Ln #35,Franklin Boro,NJ,07416-2159,200000.0,2.0,2.5,Franklin Boro,,435.0,1986.0,,,,Sold,,,https://www.redfin.com/NJ/Franklin/35-Liberty-Ln-07416/unit-35/home/174171175,GSMLS,3686995.0,N,Y,41.1204479,-74.5742696,Sussex
PAST SALE,,Single Family Residential,45 Merriam Ave,Newton,NJ,07860,200000.0,,,,1500.0,14985.0,2011.0,,133.0,,,,,https://www.redfin.com/NJ/Newton/45-Merriam-Ave-07860/home/37742307,,,N,Y,41.0415397,-74.7593044,Sussex
PAST SALE,,Single Family Residential,50 State Rt 94,Vernon,NJ,07462,200000.0,,,,1176.0,61855.0,1946.0,,170.0,,,,,https://www.redfin.com/NJ/Vernon/50-State-Rt-94-07462/home/167671615,,,N,Y,41.1751988,-74.5459175,Sussex
