PAMS_PIN,CLOSEST_WETLAND_ID,CLOSEST_C1_ID
1902_90_55.02,71182,72771
1902_7_8_QFARM,69772,94707
1902_7_2.02,130798,73622
1902_119_18,71343,72776
1902_30_3,69974,73622
1902_109_4.01_C0080,118296,73520
1902_128_4.02,101756,61330
1902_103_6,71428,71579
1902_101_5,71228,73508
1902_7_13,70352,71018
1902_102_3.01,70982,94691
1902_6_1_QFARM,69819,72480
1902_107_3,71823,72711
1902_111_6_QFARM,7180,73517
1902_154_40,70925,93946
1902_21_7,69974,73189
1902_154_31,70925,61769
1902_116_21_C0424,71758,73520
1902_116_21_C0425,71758,73520
1902_116.01_3,118279,73520
1902_70_1.06,70633,94691
1902_111_23,72160,73520
1902_69_4.21,70585,73166
1902_48_3,101629,73082
1902_46_9,101629,73082
1902_107_1,71796,70641
1902_1.02_10.03,20270,73017
1902_159_5.04,70265,63588
1902_157_25,70339,61064
1902_116_18.01,71837,73520
1902_116_21_C0410,71758,73520
1902_111.02_16,72032,73517
1902_108.01_1,101879,72711
1902_116_21_C0402,71758,73520
1902_122_4,101811,73517
1902_60_1,70216,73189
1902_127_14,71298,61330
1902_71.02_4,70765,94691
1902_49_1,101629,73082
1902_83_2.01,71184,72771
1902_17_1.02,69974,72233
1902_116_21_C0352,71758,73520
1902_109_4.01_C0046,71758,73520
1902_103_12.03,71046,71044
1902_71_2.04,101653,94691
1902_105.02_5,118266,73520
1902_135_6,70962,61395
1902_153_33.01,118230,59003
1902_147_2.01,101713,61395
1902_119_4.04,101787,73517
1902_105.03_12,118266,73520
1902_158_14.06_QFARM,70057,58661
1902_22_3,69974,73189
1902_12_28.01,69974,73548
1902_132_9,2706,72542
1902_81_1,71072,75486
1902_153_25,71044,59003
1902_65_1.10,70065,73632
1902_146_2,71001,59900
1902_126_7.02,71585,58722
1902_116_21_C0350,71758,73520
1902_116_21_C0351,71758,73520
1902_70_1.12,70633,72746
1902_111_38,118357,72715
1902_107_5,101879,72711
1902_1_6.02,130776,71626
1902_157_8.10,70458,61062
1902_146_1.01,101713,59900
1902_109_4.01_C0196,118296,73520
1902_126_7.01,71585,58722
1902_105.03_13,71447,73520
1902_109_4.01_C0152,118296,73520
1902_106.02_8.05,71661,73537
1902_111_44,118357,72745
1902_111.08_1_QFARM,118337,72745
1902_93_3.16,71035,73291
1902_94_6,71036,72771
1902_116_24.06,20438,73594
1902_158_6,70257,60320
1902_129_1.04,101787,73517
1902_50_7,101629,73082
1902_111.02_14,72032,58722
1902_155_2.04,70519,61064
1902_119_7.01,71343,72776
1902_111_8.01,71685,73517
1902_117_4,111158,73594
1902_116_21_C0395,71758,73520
1902_157_3.01,118046,60712
1902_119_6.07,71591,73517
1902_1.01_1,130776,71626
1902_1.02_12.06,130776,71626
1902_130_4,71311,72776
1902_69_27,70657,72733
1902_116_21_C0417,71758,73520
1902_141.01_7,70768,61420
1902_157_19.01,118175,97149
1902_1.04_11.03,130776,71514
1902_109_4.01_C0180,101875,73520
1902_73_2,71472,73508
1902_154_25,70925,56185
1902_134_17.04_QFARM,70768,61420
1902_109_4.01_C0173,101875,73520
1902_35_1.01,101592,70992
1902_124_24.02,101811,73517
1902_111_22,72160,73520
1902_153_28,71044,59003
1902_96_4,71182,73508
1902_158_12,70057,58661
1902_111_19.17,111175,72715
1902_116_21,71758,73520
1902_45_8,101629,72233
1902_109_4.01_C0225,101875,73520
1902_106_17.08,71428,73537
1902_156_4.03,70301,63872
1902_7_12.07,70407,71018
1902_109_2.01,101875,73520
1902_105.06_6.03_QFARM,118296,73520
1902_105.06_6.04,118296,73520
1902_106_1,71796,71578
1902_111_14.02_QFARM,118385,72715
1902_111_18,72349,72715
1902_111_14.01_QFARM,72496,72715
1902_147_1,101713,61395
1902_157_8.08,70527,61062
1902_105.04_21,71447,73936
1902_126_14.03,71585,58722
1902_126_14.01,71585,58722
1902_132_7,70991,72542
1902_109_4.01_C0041,71758,73520
1902_109_4.01_C0040,71758,73520
1902_111.02_18,2733,73517
1902_75_15,71299,73508
1902_69_2,70439,72746
1902_158_2,70265,63593
1902_118_7,101798,73517
1902_106_17,71665,73537
1902_111.02_3,101811,73517
1902_1_6.05,130776,71626
1902_1_6.04,130776,71514
1902_111.02_27,7180,73517
1902_127_20,101756,61330
1902_116_29,118279,73520
1902_119_19,71343,72776
1902_71_9.06,2703,75486
1902_159_5.02,70265,63588
1902_111.02_29_C0102,101811,73517
1902_87_8,71228,73508
1902_38_6,70216,73189
1902_28_7,69974,73189
1902_111.06_3,72032,73517
1902_104_1.04,71447,73926
1902_104_3,71447,73928
1902_118_12,139740,73609
1902_27_7,69974,73189
1902_30_5,69974,73622
1902_70_1.03,70451,72746
1902_28_11,69974,73189
1902_7_9.11,70232,71023
1902_69_4.28,70602,72733
1902_99_12,101714,73508
1902_109_4.01_C00G6,101875,70641
1902_157_21,70623,97149
1902_72_1.05,20295,61106
1902_111.09_19,118357,72745
1902_157_8.22,70623,97149
1902_30_2,101556,73622
1902_109_4.01_C0132,71758,73520
1902_109_4.01_C0113,118296,73520
1902_143_22.02,70768,59900
1902_78_20,71184,72771
1902_69_12,70657,72733
1902_69_33,70505,72733
1902_69_15,70505,72733
1902_21_3,69974,73189
1902_5_79.04,70128,72229
1902_106_19.01,71665,71578
1902_120_9,71685,73517
1902_69_7.16,70620,73164
1902_69_7.07,70633,72800
1902_129_5,20390,72542
1902_127_15,71202,61330
1902_128_13,71202,61330
1902_68_4.01,70753,73715
1902_157_3_QFARM,70339,54504
1902_33_4.02,101556,73622
1902_105.04_5,71680,73936
1902_111_75,72368,73518
1902_111_76,72368,73594
1902_87_18.01,71228,73508
1902_111.02_29_C0106,101811,73517
1902_111.02_29_C0107,101811,73517
1902_111.02_29_C0108,101811,73517
1902_53_6,101629,72747
1902_116_31,71837,73520
1902_69_4.20,70585,72800
1902_70_1.09,70451,72746
1902_69_4.25,70585,73169
1902_7_9.04,70352,71018
1902_82_3.04,71105,72775
1902_143_29,70755,61420
1902_111.02_15,72032,73517
1902_164_1,101483,60046
1902_132_4,5113,70988
